conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.86013607422137E+018,Sat Nov 23 01:39:34 +0000 2024,7,Di negara lain korupsi di hukum mati di Indonesia ga jumlah korupsi di negara lain lebih sedikit jadi kepercayaan terhadap pajak sangat berbeda itu wajar sebaiknya benahin dulu kepercayaan masyarakat baru naikan pajak terutama RUU perampasan aset ,1.86013607422137E+018,,,in,,0,3,0,https://x.com/undefined/status/1860136074221371605,1.42213321797745E+018,
1.85985338727956E+018,Sat Nov 23 00:09:41 +0000 2024,0,@abdi_rakyat_24 @CakKhum Mana bisa mas...UU itu produk DPR dan pemerintah mau apa mrk buat UU yg bakal nyusahin mrk sendiri...liat aja tuh RUU perampasan aset gak masuk dlm prolegnas krn otak kriminal mrk sdh waspada bakal gorok leher mrk sendiri kalo dis,1.86011345423083E+018,,abdi_rakyat_24,in,,0,0,0,https://x.com/undefined/status/1860113454230831603,3523957633,
1.85938523602878E+018,Fri Nov 22 23:57:40 +0000 2024,0,@DS_yantie Sampai sebegitu nya pemerintah mengorek pajak dari wong cilik yg mengais rejeki dgn untung yg minim dimana duwit bagi kesejahteraannya telah di korupsi mengapa tidak segera di sahkan RUU perampasan aset koruptor dan memberi efek jera padahal RI,1.86011043141276E+018,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/1860110431412764807,1.79975654768764E+018,
1.8596848328818E+018,Fri Nov 22 23:41:10 +0000 2024,0,@anggaBeth @ProeliaTWD @pandji Ah kaya gak tau aja kalau lgsg dor nanti bersinggungan sama HAM pemerintah ribet lagi. Sekecil ruu perampasan aset aja gak disahin karena kata nya butuh waktu biar optimal nanti implementasinya dan gak salah sasaran padahal ,1.86010628028074E+018,,anggaBeth,in,,0,1,0,https://x.com/undefined/status/1860106280280748155,755847800,
1.8601059630907E+018,Fri Nov 22 23:39:55 +0000 2024,0,Saat ini Bu Puan Maharani kembali menjadi Ketua @DPR_RI menjadi pertanyaan dimana RUU Perampasan Aset Koruptor tak masuk Prolegnas. SERIUS GA DPR ingin berantas Korupsi? https://t.co/EwgwVFmYcG https://t.co/PoAgKXZtym,1.8601059630907E+018,https://pbs.twimg.com/media/GdBsgxDagAAZbFn.jpg,,in,,0,0,0,https://x.com/undefined/status/1860105963090702511,1.83979289852054E+018,
1.8599701219405E+018,Fri Nov 22 23:28:27 +0000 2024,0,@gulasemangka Hahaha dahvtaubkan sebenernya siapa yg gak beres emng gak guna ada wakil rakyat/dpr. Orngbmereka aj menikmati hasil korupsi makanya ruu perampasan aset gaknbakal disetujui ma mereka ,1.86010307968282E+018,,gulasemangka,in,,0,0,0,https://x.com/undefined/status/1860103079682826402,1169146958,
1.86009257514489E+018,Fri Nov 22 22:46:43 +0000 2024,0,Yg bilang RUU Perampasan Aset bisa jadi pedang bermata dua karna rawan diktator kemungkinan dia lah kawanan tikusnya wkwk Australia yg dah nerapin unexplained wealth apakah pemerintahannya jadi diktator?,1.86009257514489E+018,,,in,,0,0,0,https://x.com/undefined/status/1860092575144898903,1.61890314286281E+018,
1.85995453092819E+018,Fri Nov 22 16:07:10 +0000 2024,0,@kompasiana Ya kan waktu yg bisa mmbuktihkan min..apakah mereka pantas disbut sbgai pemimoin ideal/tdk?... tp blom apa2 sdh menimbulkan keragu2an jika OTT mau ditiadakan?..lbih mengutamakan pencegahan tp disisi lain RUU perampasan aset blom mnjdi UU..yaki,1.85999202668483E+018,,kompasiana,in,,0,0,0,https://x.com/undefined/status/1859992026684834214,1.28655777567004E+018,
1.85996134598432E+018,Fri Nov 22 16:00:43 +0000 2024,0,@inilahdotcom Amanah konstituen masukan ke Prolegnas RUU PERAMPASAN ASET. Yang Di lakukan Konstitusi Şahkan UU AMNESTY PAJAK . ,1.85999040080475E+018,,inilahdotcom,in,,0,0,0,https://x.com/undefined/status/1859990400804757535,1.13898824935819E+018,
1.85998889851829E+018,Fri Nov 22 16:00:39 +0000 2024,5,@Heraloebss @prabowo Sudah waktunya RUU perampasan aset dan pemiskinan koruptor di ACC keun.,1.85999038509287E+018,,Heraloebss,in,,0,2,0,https://x.com/undefined/status/1859990385092878819,7.6358472825543E+017,
1.85996643551637E+018,Fri Nov 22 14:25:29 +0000 2024,0,RUU Perampasan Aset ini pisau bermata dua just reminder.),1.85996643551637E+018,,,in,,0,0,0,https://x.com/undefined/status/1859966435516375270,1.07213630884626E+018,
1.85988493296288E+018,Fri Nov 22 14:09:45 +0000 2024,0,@Mdy_Asmara1701 Ga ada 'nyinyiran' atau protes dari PSI ni? Yg sok2an bahas RUU perampasan aset saat aksi protes RUU Pilkada (peringatan darurat) agustus lalu? ,1.85996247540981E+018,,Mdy_Asmara1701,in,,0,0,0,https://x.com/undefined/status/1859962475409817969,46523425,
1.85991618206286E+018,Fri Nov 22 13:45:50 +0000 2024,0,@hnirankara 1) Habiburrohman Elit Gerindra = Refleksi Sikap Prabowo thd Korupsi/Koruptor 2) Spt halnya Duo Gerindra Supratman Menkumham &amp,,,,,,,,,,,
1.85978319407123E+018,Fri Nov 22 13:19:15 +0000 2024,0,@mardigu024 Dan kita berharap RUU perampasan aset bakalan di kerjain sama @DPR_RI ? Masa iya mau miskinin diri sendiri?,1.85994976634146E+018,,mardigu024,in,,0,0,0,https://x.com/undefined/status/1859949766341468561,1725858757,
1.85988493296288E+018,Fri Nov 22 13:18:08 +0000 2024,1,@Mdy_Asmara1701 1) Pemerintah/Menkumham Supratman/Gerindra &amp,,,,,,,,,,,
1.85982161031803E+018,Fri Nov 22 13:12:31 +0000 2024,0,@detikcom Kalau Presidennya Pak @aniesbaswedan Apa pemerintah akan mendorong sekuat tenaga untuk menjadikan RUU Perampasan Aset jadi UU Perampasan Aset? @tempodotco,1.85994807418314E+018,,detikcom,in,,0,0,0,https://x.com/undefined/status/1859948074183147560,76351840,
1.85994147400952E+018,Fri Nov 22 12:46:18 +0000 2024,3,Boro boro mau sahkan RUU perampasan aset malah usul yg bgtu mentang mentang Mayoritas pendukung pemerintah ga ada yg inget RUU perampasan aset nya,1.85994147400952E+018,,,in,,0,0,0,https://x.com/undefined/status/1859941474009526775,1.42213321797745E+018,
1.85979212373188E+018,Fri Nov 22 11:30:57 +0000 2024,0,@are_inismyname @Gerindra @Ndons_Back @BANGSAygSUJUD @99propaganda @IrawanRommi @DarekaRendy @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie eksekutif dan legislatif pasti berjalan beriringan. apalagi soal menguntungkan bagi kantong mereka dan kron,1.85992251423706E+018,,are_inismyname,in,,0,0,0,https://x.com/undefined/status/1859922514237067442,1.6655818222088E+018,
1.85992087910031E+018,Fri Nov 22 11:24:27 +0000 2024,0,Anggota Dewan nu dipilih kamari 2024 henteu niat berantas korupsi! RUU Perampasan Aset lagi2 dijegal Kudu kumaha atuhnya urang jadi rakyat ? @dhemit_is_back @logikapolitikid kudu rakyat geruduk Gedung DPR Netanyahu giselle Janda Towel Pam Bondi Dnipro https://t.co/bPEcj1WzPU,1.85992087910031E+018,,,in,,0,1,0,https://x.com/undefined/status/1859920879100318010,62468709,
1.87375068848607E+018,Mon Dec 30 23:57:18 +0000 2024,244,@geloraco NYINDIR2 MELULU PAK GAK ADA ACTION KELUARIN PERPPU PAK UTK MEREVISI UU PPN 12% SURUH TUH KOALISI BAPAK DI DPR UTK MENSAHKANNYA JADI UU. MINTA JUGA KE PARTAI KOALISI UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR. KAN KATANYA PRO RAKYAT SAMA ANTI KOR,1.87388107573651E+018,,geloraco,in,,0,2,7,https://x.com/undefined/status/1873881075736515056,44305269,
1.87371923523253E+018,Mon Dec 30 23:53:38 +0000 2024,1,@KompasTV BAPAK CUMA OMON2 DOANG SURUHLAH PAK PARTAI KOALISI BAPAK DI DPR UTK MENSAHKAN RUU PERAMPASAN ASET KORUPTOR BAPAK TINGGAL PANGGIL KETUM PARTAI KOALISI KE KERTANEGARA. NGAPAIN JUGA MINTA DENDA ATAU DISURUH MENGEMBALIKAN JARAHANNYA. CUKUP SAHKAN RU,1.8738801558754E+018,,KompasTV,in,,0,0,0,https://x.com/undefined/status/1873880155875401779,44305269,
1.8732665774682E+018,Mon Dec 30 21:11:12 +0000 2024,0,@ridwanhr Boleh ngga si dukung terus RUU Perampasan Aset di sah in selama ini orang orang aja ngga pernah perjuangin itu. Pada kmn giliran udh rame vonis juga ngga ada yg ngamuk soal RUU perampasan aset,1.87383927483309E+018,,ridwanhr,in,,0,0,0,https://x.com/undefined/status/1873839274833097015,407513707,
1.87367197459947E+018,Mon Dec 30 20:50:22 +0000 2024,0,@Johan_Vicx @alatas_faiz @OjolNyambi Demo lah sah kan ruu perampasan aset blog bukan lu teriak ke si mulyono,1.87383403549736E+018,,Johan_Vicx,in,,0,0,0,https://x.com/undefined/status/1873834035497361795,1.58402401069815E+018,
1.87368511029554E+018,Mon Dec 30 18:04:01 +0000 2024,0,@tham878 Masa sekelas presiden cuma bisa nyindir langsung tindak tegas dong sahkan RUU Perampasan aset omon omon doang nih,1.87379217221201E+018,,tham878,in,,0,0,0,https://x.com/undefined/status/1873792172212019581,2807076179,
1.87370470870533E+018,Mon Dec 30 17:31:33 +0000 2024,0,@KompasTV RUU perampasan aset sampe mana koalisi gendut itu ngapain aja ? Pidato berapi2 aksi nol besar,1.87378399878862E+018,,KompasTV,in,,0,0,0,https://x.com/undefined/status/1873783998788624896,1.49706866972514E+018,
1.87370813717553E+018,Mon Dec 30 17:01:15 +0000 2024,0,@Gerindra Msh menunggu instruksi kerja nyatanya agar RUU Perampasan Aset dapat segera disahkan shg tidak dianggap omon2 saja yg katanya mau berantas korupsi dan bakal dikejar hingga ke antartika,1.87377637444572E+018,,Gerindra,in,,0,0,0,https://x.com/undefined/status/1873776374445727906,299655411,
